Date,Home,Score,Away,Result,W,D,L,Pts,Poss,Gls,Ast,CrdY,CrdR,GlsPer90,AstPer90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA,GA90,SoTA,Saves,Save%,CS,CS%,Cmp%,KP,1/3,Prog,SCA,SCA90,PassLiveSCA,DribSCA,ShSCA,DefSCA,GCA,GCA90,PassLiveGCA,DribGCA,ShGCA,DefGCA,TklW,Blocks,Int,Err,Live,Miscon
2019-08-23,Aston Villa,2 - 0,Everton,W,-4.000000,-2.000000,6.000000,-14.000000,-5.300000,-2.000000,0.000000,-6.000000,-2.000000,-0.060000,0.000000,-12.000000,-9.000000,-1.100000,-0.320000,-0.240000,0.000000,0.010000,11.000000,0.290000,30.000000,18.000000,0.012000,-2.000000,-5.300000,-2.000000,45.000000,-142.000000,-225.000000,57.000000,1.500000,92.000000,-10.000000,-27.000000,-5.000000,3.000000,0.080000,3.000000,0.000000,-4.000000,1.000000,-35.000000,137.000000,-25.000000,19.000000,-2104.000000,-82.000000
2019-08-24,Norwich City,2 - 3,Chelsea,L,-15.000000,0.000000,15.000000,-45.000000,-11.400000,-44.000000,-28.000000,8.000000,3.000000,-1.160000,-0.740000,-210.000000,-86.000000,-3.600000,-5.530000,-2.270000,-0.040000,-0.110000,21.000000,0.550000,86.000000,64.000000,0.099000,-4.000000,-10.500000,-4.300000,-154.000000,-601.000000,-523.000000,-339.000000,-8.920000,-272.000000,-5.000000,-9.000000,3.000000,-71.000000,-1.860000,-49.000000,-5.000000,-6.000000,1.000000,-15.000000,137.000000,2.000000,7.000000,-6148.000000,4.000000
2019-08-24,Brighton,0 - 2,Southampton,L,-6.000000,7.000000,-1.000000,-11.000000,2.900000,-16.000000,-8.000000,4.000000,-2.000000,-0.420000,-0.210000,-41.000000,-32.000000,-4.000000,-1.080000,-0.840000,-0.030000,-0.040000,-6.000000,-0.160000,1.000000,7.000000,0.033000,0.000000,0.000000,6.400000,-6.000000,110.000000,183.000000,-37.000000,-0.980000,16.000000,-20.000000,-4.000000,-14.000000,-7.000000,-0.190000,1.000000,-5.000000,-6.000000,-2.000000,-74.000000,-63.000000,4.000000,-4.000000,2228.000000,-40.000000
2019-08-24,Manchester Utd,1 - 2,Crystal Palace,L,7.000000,2.000000,-9.000000,23.000000,11.700000,36.000000,23.000000,11.000000,-2.000000,0.950000,0.600000,156.000000,84.000000,6.700000,4.100000,2.210000,0.030000,0.060000,-14.000000,-0.370000,-44.000000,-28.000000,0.032000,3.000000,7.900000,6.700000,148.000000,501.000000,460.000000,373.000000,9.820000,359.000000,5.000000,5.000000,-1.000000,50.000000,1.320000,41.000000,3.000000,-1.000000,2.000000,-71.000000,-43.000000,23.000000,-6.000000,5020.000000,-58.000000
2019-08-24,Watford,1 - 3,West Ham,L,-2.000000,1.000000,1.000000,-5.000000,-1.500000,-14.000000,-15.000000,16.000000,2.000000,-0.370000,-0.400000,-4.000000,-43.000000,-10.100000,-0.100000,-1.130000,-0.040000,-0.040000,2.000000,0.050000,-12.000000,-15.000000,-0.017000,2.000000,5.300000,-2.400000,-31.000000,-84.000000,-64.000000,-19.000000,-0.500000,-26.000000,2.000000,7.000000,16.000000,-29.000000,-0.770000,-24.000000,-4.000000,-2.000000,5.000000,-41.000000,-9.000000,20.000000,1.000000,-839.000000,48.000000
2019-08-24,Sheffield Utd,1 - 2,Leicester City,L,-4.000000,4.000000,0.000000,-8.000000,-14.500000,-29.000000,-23.000000,20.000000,-1.000000,-0.760000,-0.600000,-180.000000,-72.000000,-3.100000,-4.740000,-1.890000,-0.010000,-0.010000,-2.000000,-0.050000,15.000000,8.000000,-0.008000,0.000000,0.000000,-8.400000,-132.000000,-242.000000,-277.000000,-324.000000,-8.530000,-223.000000,-30.000000,-12.000000,-9.000000,-55.000000,-1.450000,-45.000000,-2.000000,4.000000,-4.000000,-86.000000,17.000000,-49.000000,-1.000000,-5015.000000,-50.000000
2019-08-24,Liverpool,3 - 1,Arsenal,W,18.000000,-11.000000,-7.000000,43.000000,9.400000,27.000000,34.000000,-50.000000,-4.000000,0.710000,0.900000,184.000000,78.000000,2.000000,4.840000,2.050000,0.000000,-0.020000,-15.000000,-0.390000,-82.000000,-68.000000,-0.082000,5.000000,13.200000,0.600000,151.000000,613.000000,576.000000,283.000000,7.450000,238.000000,23.000000,1.000000,1.000000,54.000000,1.420000,38.000000,10.000000,-1.000000,-6.000000,2.000000,-133.000000,2.000000,-4.000000,5135.000000,29.000000
2019-08-25,Bournemouth,1 - 3,Manchester City,L,-17.000000,4.000000,13.000000,-47.000000,-23.100000,-62.000000,-45.000000,14.000000,-1.000000,-1.630000,-1.190000,-346.000000,-130.000000,-3.500000,-9.100000,-3.420000,-0.040000,-0.090000,30.000000,0.790000,75.000000,49.000000,-0.031000,-12.000000,-31.500000,-12.900000,-291.000000,-1016.000000,-936.000000,-660.000000,-17.370000,-546.000000,-62.000000,-32.000000,-10.000000,-109.000000,-2.870000,-84.000000,-9.000000,-2.000000,-6.000000,-16.000000,259.000000,61.000000,-5.000000,-11127.000000,189.000000
2019-08-25,Tottenham,0 - 1,Newcastle Utd,L,5.000000,0.000000,-5.000000,15.000000,13.600000,18.000000,10.000000,18.000000,0.000000,0.470000,0.270000,42.000000,28.000000,3.300000,1.100000,0.740000,0.020000,0.040000,-11.000000,-0.290000,-18.000000,-4.000000,0.051000,-3.000000,-7.800000,6.300000,34.000000,380.000000,527.000000,115.000000,3.030000,113.000000,9.000000,1.000000,4.000000,28.000000,0.730000,15.000000,9.000000,6.000000,-1.000000,52.000000,22.000000,-34.000000,0.000000,5573.000000,-43.000000
2019-08-25,Wolves,1 - 1,Burnley,D,0.000000,5.000000,-5.000000,5.000000,6.900000,8.000000,4.000000,-6.000000,2.000000,0.210000,0.100000,69.000000,18.000000,-1.000000,1.810000,0.480000,0.000000,0.010000,-10.000000,-0.270000,-39.000000,-32.000000,-0.036000,-2.000000,-5.300000,8.800000,64.000000,237.000000,-706.000000,137.000000,3.610000,85.000000,44.000000,-4.000000,7.000000,21.000000,0.550000,5.000000,5.000000,3.000000,1.000000,83.000000,-104.000000,11.000000,-4.000000,3751.000000,39.000000
