Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
120,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,29,1986,34,34,3060,4,3,0,0,1,0,0.12,0.09,0.21,0.12,0.21,Matches
121,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,29,1987,23,19,1797,3,1,0,0,2,0,0.15,0.05,0.20,0.15,0.20,Matches
122,Matteo Darmian\Matteo-Darmian,it ITA,DF,Manchester Utd,26,1989,18,15,1333,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Ben Davies\Ben-Davies,wal WAL,DFMF,Tottenham,23,1993,23,18,1739,1,3,0,0,1,0,0.05,0.16,0.21,0.05,0.21,Matches
124,Curtis Davies\Curtis-Davies,eng ENG,DF,Hull City,31,1985,26,25,2135,0,2,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches
125,Tom Davies\Tom-Davies,eng ENG,MF,Everton,18,1998,24,18,1544,2,3,0,0,4,0,0.12,0.17,0.29,0.12,0.29,Matches
126,Steven Davis\Steven-Davis,nir NIR,MF,Southampton,31,1985,32,29,2643,0,3,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches
127,Craig Dawson\Craig-Dawson,eng ENG,DF,West Brom,26,1990,37,37,3276,4,0,0,0,10,0,0.11,0.00,0.11,0.11,0.11,Matches
128,Michael Dawson\Michael-Dawson,eng ENG,DF,Hull City,32,1983,22,19,1722,3,0,0,0,4,0,0.16,0.00,0.16,0.16,0.16,Matches
129,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,25,1991,36,33,2877,6,17,0,1,4,0,0.19,0.53,0.72,0.19,0.72,Matches
130,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Arsenal,31,1985,1,1,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
131,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,28,1988,37,31,2944,10,4,3,3,7,0,0.31,0.12,0.43,0.21,0.34,Matches
132,Jermain Defoe\Jermain-Defoe,eng ENG,FW,Sunderland,33,1982,37,37,3321,15,2,5,5,1,0,0.41,0.05,0.46,0.27,0.33,Matches
133,Steven Defour\Steven-Defour,be BEL,MF,Burnley,28,1988,21,16,1068,1,3,0,0,1,0,0.08,0.25,0.34,0.08,0.34,Matches
134,Damien Delaney\Damien-Delaney,ie IRL,DF,Crystal Palace,35,1981,30,21,2014,0,2,0,0,8,0,0.00,0.09,0.09,0.00,0.09,Matches
135,Fabian Delph\Fabian-Delph,eng ENG,MF,Manchester City,26,1989,7,2,224,1,0,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches
136,Mousa Dembélé\Mousa-Dembele,be BEL,MF,Tottenham,29,1987,30,24,2056,1,1,0,0,5,0,0.04,0.04,0.09,0.04,0.09,Matches
137,Jason Denayer\Jason-Denayer,be BEL,MFDF,Sunderland,21,1995,24,22,1877,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Memphis Depay\Memphis-Depay,nl NED,FWMF,Manchester Utd,22,1994,4,0,24,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Swansea City,23,1992,8,7,662,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches
140,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Everton,22,1994,11,4,460,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,22,1994,36,34,3043,2,1,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches
142,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Southampton,25,1991,21,21,1853,1,0,0,0,4,2,0.05,0.00,0.05,0.05,0.05,Matches
143,Adama Diomande\Adama-Diomande,no NOR,FWMF,Hull City,26,1990,22,13,1171,2,0,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
144,Papy Djilobodji\Papy-Djilobodji,sn SEN,DF,Sunderland,27,1988,18,17,1578,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches
145,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,23,1993,20,14,1361,1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
146,Stewart Downing\Stewart-Downing,eng ENG,MFFW,Middlesbrough,32,1984,30,24,2214,1,3,0,0,1,0,0.04,0.12,0.16,0.04,0.16,Matches
